Rated voltage (V),Rated capacitance (µF),Case φDxL (mm),Size code,Impedance (Ωmax.) 20℃,Impedance (Ωmax.) -10℃,Rated ripple current (mArms)
16.0,3300.0,16 × 25,J25,0.013,0.035,3630.0
16.0,3900.0,16 × 25,J25,0.013,0.035,3630.0
16.0,4700.0,,,,,
16.0,5600.0,,,,,
16.0,6800.0,,,,,
25.0,5.6,,,,,
25.0,10.0,5×5,C05,0.61,1.5,130.0
25.0,15.0,4×7,B07,0.94,2.9,130.0
25.0,18.0,,,,,
25.0,22.0,6.3 × 5,D05,0.31,0.97,210.0
25.0,27.0,5×7,C07,0.46,1.4,210.0
25.0,33.0,,,,,
25.0,39.0,,,,,
25.0,47.0,5 × 11.5,C11,0.22,0.8,345.0
25.0,56.0,6.3 × 7,D07,0.24,0.72,300.0
25.0,100.0,8×7,E07,0.15,0.45,380.0
25.0,100.0,6.3 × 11.5,D11,0.094,0.35,540.0
25.0,120.0,,,,,
25.0,150.0,,,,,
25.0,180.0,,,,,
25.0,220.0,8 × 12,E12,0.056,0.19,945.0
25.0,270.0,,,,,
25.0,330.0,10 × 12.5,F12,0.039,0.14,1330.0
25.0,470.0,10 × 16,F16,0.028,0.1,1760.0
25.0,560.0,,,,,
25.0,680.0,10 × 20,F20,0.02,0.06,1960.0
25.0,820.0,10 × 25,F25,0.018,0.054,2250.0
25.0,1000.0,12.5 × 20,G20,0.017,0.043,2480.0
25.0,1200.0,,,,,
25.0,1500.0,12.5 × 25,G25,0.015,0.038,2900.0
25.0,1800.0,16 × 20,J20,0.015,0.038,3250.0
25.0,2200.0,16 × 25,J25,0.013,0.035,3630.0
25.0,2700.0,16 × 25,J25,0.013,0.035,3630.0
35.0,5.6,,,,,
35.0,10.0,5×5,C05,0.63,1.5,130.0
35.0,10.0,4×7,B07,0.96,2.9,130.0
35.0,15.0,,,,,
35.0,18.0,5×7,C07,0.47,1.5,210.0
35.0,22.0,6.3 × 5,D05,0.32,1.0,210.0
35.0,27.0,,,,,
35.0,33.0,5 × 11.5,C11,0.22,0.8,345.0
35.0,39.0,6.3 × 7,D07,0.25,0.75,300.0
35.0,47.0,,,,,
35.0,56.0,8×7,E07,0.16,0.48,380.0
35.0,56.0,6.3 × 11.5,D11,0.094,0.35,540.0
35.0,100.0,,,,,
35.0,120.0,,,,,
35.0,150.0,8 × 12,E12,0.056,0.19,945.0
35.0,180.0,,,,,
35.0,220.0,10 × 12.5,F12,0.039,0.14,1330.0
35.0,270.0,8 × 20,E20,0.029,0.11,1500.0
35.0,330.0,10 × 16,F16,0.028,0.1,1760.0
35.0,470.0,10 × 20,F20,0.02,0.06,1960.0
35.0,560.0,10 × 25,F25,0.018,0.054,2250.0
35.0,680.0,12.5 × 20,G20,0.017,0.043,2480.0
35.0,820.0,,,,,
35.0,1000.0,12.5 × 25,G25,0.015,0.038,2900.0
35.0,1200.0,16 × 20,J20,0.015,0.038,3250.0
35.0,1500.0,16 × 25,J25,0.013,0.035,3630.0
35.0,1800.0,16 × 25,J25,0.013,0.035,3630.0
35.0,2200.0,,,,,
35.0,2700.0,,,,,
50.0,5.6,4×7,B07,1.0,3.0,130.0
50.0,10.0,5×7,C07,0.5,1.5,210.0
50.0,15.0,,,,,
50.0,18.0,,,,,
50.0,22.0,6.3 × 7,D07,0.26,0.78,300.0
50.0,22.0,5 × 11.5,C11,0.34,1.18,238.0
50.0,27.0,,,,,
50.0,33.0,8×7,E07,0.17,0.51,380.0
50.0,39.0,,,,,
50.0,47.0,,,,,
50.0,56.0,6.3 × 11.5,D11,0.14,0.5,385.0
50.0,100.0,8 × 12,E12,0.074,0.22,724.0
50.0,120.0,8 × 15,E15,0.061,0.18,950.0
50.0,150.0,10 × 12.5,F12,0.061,0.18,979.0
50.0,180.0,8 × 20,E20,0.046,0.14,1190.0
50.0,220.0,10 × 16,F16,0.042,0.12,1370.0
50.0,270.0,10 × 20,F20,0.03,0.09,1580.0
50.0,330.0,10 × 25,F25,0.028,0.085,1870.0
50.0,470.0,12.5 × 20,G20,0.027,0.068,2050.0
50.0,560.0,12.5 × 25,G25,0.023,0.059,2410.0
50.0,680.0,16 × 20,J20,0.023,0.059,2730.0
50.0,820.0,16 × 20,J20,0.023,0.059,2730.0
50.0,1000.0,16 × 25,J25,0.021,0.056,3010.0
50.0,1200.0,,,,,
50.0,1500.0,,,,,
50.0,1800.0,,,,,
50.0,2200.0,,,,,
50.0,2700.0,,,,,
63.0,6.8,,,,,
63.0,15.0,5 × 11.5,C11,0.88,3.5,165.0
63.0,27.0,,,,,
63.0,33.0,6.3 × 11.5,D11,0.35,1.4,265.0
63.0,39.0,,,,,
63.0,47.0,,,,,
63.0,56.0,8 × 12,E12,0.22,0.88,500.0
63.0,68.0,,,,,
63.0,82.0,10 × 12.5,F12,0.11,0.44,690.0
63.0,100.0,,,,,
63.0,120.0,8 × 20,E20,0.12,0.48,820.0
63.0,120.0,10 × 16,F16,0.076,0.31,950.0
63.0,150.0,,,,,
63.0,180.0,10 × 20,F20,0.056,0.23,1150.0
63.0,220.0,10 × 25,F25,0.046,0.19,1350.0
63.0,270.0,12.5 × 20,G20,0.041,0.13,1500.0
63.0,330.0,,,,,
63.0,390.0,12.5 × 25,G25,0.031,0.093,1900.0
63.0,470.0,12.5 × 30,G30,0.028,0.084,2300.0
63.0,470.0,16 × 20,J20,0.032,0.096,2000.0
