PART NO.,WV (V),CAP. (µF),SIZE (φ x L) (mm),tan δ,Ripple Current (mArms) (120 Hz at 85°C)
RE3-25V100M,25.0,10.0,5 x 11,0.16,55.0
RE3-25V220M,25.0,22.0,5 x 11,0.16,82.0
RE3-25V330M,25.0,33.0,5 x 11,0.16,100.0
RE3-25V470M,25.0,47.0,5 x 11,0.16,118.0
RE3-25V101M,25.0,100.0,6.3 x 11,0.16,199.0
RE3-25V221M,25.0,220.0,8 x 11.5,0.16,349.0
RE3-25V331M,25.0,330.0,10 x 12.5,0.16,510.0
RE3-25V471M,25.0,470.0,10 x 12.5,0.16,545.0
RE3-25V102M,25.0,1000.0,10 x 20,0.16,996.0
RE3-25V222M,25.0,2200.0,12.5 x 25,0.18,1660.0
RE3-25V332M,25.0,3300.0,16 x 25,0.2,2030.0
RE3-25V472M,25.0,4700.0,16 x 31.5,0.22,2650.0
RE3-25V682M,25.0,6800.0,18 x 35.5,0.26,3290.0
RE3-35V4R7M,35.0,4.7,5 x 11,0.14,40.0
RE3-35V100M,35.0,10.0,5 x 11,0.14,59.0
RE3-35V220M,35.0,22.0,5 x 11,0.14,87.0
RE3-35V330M,35.0,33.0,5 x 11,0.14,107.0
RE3-35V470M,35.0,47.0,5 x 11,0.14,130.0
RE3-35V101M,35.0,100.0,6.3 x 11,0.14,214.0
RE3-35V221M,35.0,220.0,10 x 12.5,0.14,443.0
RE3-35V331M,35.0,330.0,10 x 12.5,0.14,542.0
RE3-35V471M,35.0,470.0,10 x 16,0.14,664.0
RE3-35V102M,35.0,1000.0,12.5 x 20,0.14,1210.0
RE3-35V222M,35.0,2200.0,16 x 25,0.16,1950.0
RE3-35V332M,35.0,3300.0,16 x 35.5,0.18,2510.0
RE3-35V472M,35.0,4700.0,18 x 35.5,0.2,2990.0
RE3-50VR10M,50.0,0.1,5 x 11,0.12,3.0
RE3-50VR22M,50.0,0.22,5 x 11,0.12,6.0
RE3-50VR33M,50.0,0.33,5 x 11,0.12,9.0
RE3-50VR47M,50.0,0.47,5 x 11,0.12,13.0
RE3-50V010M,50.0,1.0,5 x 11,0.12,21.0
RE3-50V2R2M,50.0,2.2,5 x 11,0.12,31.0
RE3-50V3R3M,50.0,3.3,5 x 11,0.12,38.0
RE3-50V4R7M,50.0,4.7,5 x 11,0.12,45.0
RE3-50V100M,50.0,10.0,5 x 11,0.12,66.0
RE3-50V220M,50.0,22.0,5 x 11,0.12,98.0
RE3-50V330M,50.0,33.0,5 x 11,0.12,126.0
RE3-50V470M,50.0,47.0,6.3 x 11,0.12,155.0
RE3-50V101M,50.0,100.0,8 x 11.5,0.12,260.0
RE3-50V221M,50.0,220.0,10 x 12.5,0.12,443.0
RE3-50V331M,50.0,330.0,10 x 16,0.12,595.0
RE3-50V471M,50.0,470.0,12.5 x 20,0.12,887.0
RE3-50V102M,50.0,1000.0,12.5 x 25,0.12,1400.0
RE3-50V222M,50.0,2200.0,16 x 35.5,0.14,2340.0
RE3-50V332M,50.0,3300.0,18 x 35.5,0.16,2810.0
RE3-63V4R7M,63.0,4.7,5 x 11,0.1,45.0
RE3-63V100M,63.0,10.0,5 x 11,0.1,66.0
RE3-63V220M,63.0,22.0,5 x 11,0.1,100.0
RE3-63V330M,63.0,33.0,6.3 x 11,0.1,140.0
RE3-63V470M,63.0,47.0,6.3 x 11,0.1,170.0
RE3-63V101M,63.0,100.0,10 x 12.5,0.1,300.0
RE3-63V221M,63.0,220.0,10 x 16,0.1,470.0
RE3-63V331M,63.0,330.0,10 x 20,0.1,710.0
RE3-63V471M,63.0,470.0,12.5 x 20,0.1,900.0
RE3-63V102M,63.0,1000.0,16 x 25,0.1,1300.0
RE3-100VR10M,100.0,0.1,5 x 11,0.08,2.1
RE3-100VR22M,100.0,0.22,5 x 11,0.08,4.7
RE3-100VR33M,100.0,0.33,5 x 11,0.08,7.0
RE3-100VR47M,100.0,0.47,5 x 11,0.08,10.0
RE3-100V010M,100.0,1.0,5 x 11,0.08,21.0
RE3-100V2R2M,100.0,2.2,5 x 11,0.08,30.0
RE3-100V3R3M,100.0,3.3,5 x 11,0.08,40.0
RE3-100V4R7M,100.0,4.7,5 x 11,0.08,45.0
RE3-100V100M,100.0,10.0,6.3 x 11,0.08,75.0
RE3-100V220M,100.0,22.0,6.3 x 11,0.08,130.0
RE3-100V330M,100.0,33.0,8 x 11.5,0.08,180.0
RE3-100V470M,100.0,47.0,10 x 12.5,0.08,230.0
RE3-100V101M,100.0,100.0,10 x 20,0.08,370.0
RE3-100V221M,100.0,220.0,12.5 x 20,0.08,620.0
RE3-100V331M,100.0,330.0,12.5 x 25,0.08,760.0
RE3-100V471M,100.0,470.0,16 x 25,0.08,1000.0
RE3-100V102M,100.0,1000.0,18 x 40,0.08,1380.0
RE3-160VR47M,160.0,0.47,6.3 x 11,0.2,15.0
RE3-160V010M,160.0,1.0,6.3 x 11,0.2,22.0
RE3-160V2R2M,160.0,2.2,6.3 x 11,0.2,32.0
RE3-160V3R3M,160.0,3.3,6.3 x 11,0.2,40.0
RE3-160V4R7M,160.0,4.7,6.3 x 11,0.2,48.0
RE3-160V100M,160.0,10.0,8 x 11.5,0.2,81.0
RE3-160V220M,160.0,22.0,10 x 16,0.2,151.0
RE3-160V330M,160.0,33.0,10 x 20,0.2,202.0
RE3-160V470M,160.0,47.0,12.5 x 20,0.2,266.0
RE3-160V101M,160.0,100.0,12.5 x 25,0.2,422.0
RE3-160V221M,160.0,220.0,16 x 31.5,0.2,783.0
RE3-160V331M,160.0,330.0,18 x 35.5,0.2,1080.0
RE3-200VR47M,200.0,0.47,6.3 x 11,0.2,15.0
RE3-200V010M,200.0,1.0,6.3 x 11,0.2,22.0
RE3-200V2R2M,200.0,2.2,6.3 x 11,0.2,32.0
RE3-200V3R3M,200.0,3.3,6.3 x 11,0.2,40.0
RE3-200V4R7M,200.0,4.7,8 x 11.5,0.2,56.0
RE3-200V100M,200.0,10.0,10 x 12.5,0.2,94.0
RE3-200V220M,200.0,22.0,10 x 20,0.2,170.0
RE3-200V330M,200.0,33.0,12.5 x 20,0.2,223.0
RE3-200V470M,200.0,47.0,12.5 x 20,0.2,265.0
RE3-200V101M,200.0,100.0,16 x 25,0.2,483.0
RE3-200V221M,200.0,220.0,18 x 35.5,0.2,882.0
RE3-250VR47M,250.0,0.47,6.3 x 11,0.2,15.0
RE3-250V010M,250.0,1.0,6.3 x 11,0.2,22.0
RE3-250V2R2M,250.0,2.2,6.3 x 11,0.2,32.0
RE3-250V3R3M,250.0,3.3,8 x 11.5,0.2,48.0
RE3-250V4R7M,250.0,4.7,8 x 11.5,0.2,56.0
RE3-250V100M,250.0,10.0,10 x 16,0.2,101.0
RE3-250V220M,250.0,22.0,12.5 x 20,0.2,182.0
RE3-250V330M,250.0,33.0,12.5 x 25,0.2,243.0
RE3-250V470M,250.0,47.0,12.5 x 25,0.2,295.0
RE3-250V101M,250.0,100.0,16 x 31.5,0.2,528.0
RE3-315VR47M,315.0,0.47,6.3 x 11,0.24,15.0
RE3-315V010M,315.0,1.0,6.3 x 11,0.24,22.0
RE3-315V2R2M,315.0,2.2,8 x 11.5,0.24,38.0
RE3-315V3R3M,315.0,3.3,10 x 12.5,0.24,53.0
RE3-315V4R7M,315.0,4.7,10 x 12.5,0.24,65.0
RE3-315V100M,315.0,10.0,10 x 20,0.24,115.0
RE3-315V220M,315.0,22.0,12.5 x 20,0.24,182.0
RE3-315V330M,315.0,33.0,16 x 25,0.24,277.0
RE3-315V470M,315.0,47.0,16 x 25,0.24,330.0
RE3-315V101M,315.0,100.0,18 x 31.5,0.24,567.0
RE3-350VR47M,350.0,0.47,6.3 x 11,0.24,15.0
RE3-350V010M,350.0,1.0,6.3 x 11,0.24,22.0
RE3-350V2R2M,350.0,2.2,8 x 11.5,0.24,38.0
RE3-350V3R3M,350.0,3.3,10 x 12.5,0.24,53.0
RE3-350V4R7M,350.0,4.7,10 x 12.5,0.24,65.0
RE3-350V100M,350.0,10.0,10 x 20,0.24,115.0
RE3-350V220M,350.0,22.0,12.5 x 25,0.24,197.0
RE3-350V330M,350.0,33.0,16 x 25,0.24,277.0
RE3-350V470M,350.0,47.0,16 x 25,0.24,330.0
RE3-350V101M,350.0,100.0,18 x 31.5,0.24,507.0
RE3-400VR47M,400.0,0.47,6.3 x 11,0.24,15.0
RE3-400V010M,400.0,1.0,6.3 x 11,0.24,22.0
RE3-400V2R2M,400.0,2.2,8 x 11.5,0.24,38.0
RE3-400V3R3M,400.0,3.3,10 x 12.5,0.24,54.0
RE3-400V4R7M,400.0,4.7,10 x 16,0.24,71.0
RE3-400V100M,400.0,10.0,12.5 x 20,0.24,123.0
RE3-400V220M,400.0,22.0,12.5 x 25,0.24,197.0
RE3-400V330M,400.0,33.0,16 x 25,0.24,277.0
RE3-400V470M,400.0,47.0,16 x 31.5,0.24,361.0
RE3-450VR47M,450.0,0.47,8 x 11.5,0.24,18.0
RE3-450V010M,450.0,1.0,8 x 11.5,0.24,25.0
RE3-450V2R2M,450.0,2.2,10 x 12.5,0.24,43.0
RE3-450V3R3M,450.0,3.3,10 x 16,0.24,59.0
RE3-450V4R7M,450.0,4.7,10 x 20,0.24,76.0
RE3-450V100M,450.0,10.0,12.5 x 20,0.24,123.0
RE3-450V220M,450.0,22.0,16 x 25,0.24,226.0
RE3-450V330M,450.0,33.0,16 x 31.5,0.24,304.0
RE3-450V470M,450.0,47.0,16 x 35.5,0.24,380.0
