Rated voltage (V),Rated capacitance (µF),Case φD × L (mm),Size code,"ESR (Ω max.) 20℃, 100kHz","ESR (Ω max.) -10℃, 100kHz","Rated ripple current (mArms) 105℃, 100kHz"
35.0,33,5 × 11.5,C11,0.5,1.0,182
35.0,47,6.3 × 11.5,D11,0.25,0.5,295
35.0,56,6.3 × 11.5,D11,0.25,0.5,295
35.0,82,6.3 × 11.5,D11,0.25,0.5,295
35.0,100,8 × 12,E12,0.117,0.234,567
35.0,150,8 × 12,E12,0.117,0.234,567
35.0,180,8 × 12,E12,0.117,0.234,567
35.0,220,8 × 15,E15,0.085,0.17,733
35.0,270,8 × 15,E15,0.085,0.17,733
35.0,330,8 × 20,E20,0.065,0.13,996
35.0,330,10 × 16,F16,0.068,0.136,1060
35.0,390,10 × 16,F16,0.068,0.136,1060
35.0,470,10 × 20,F20,0.052,0.104,1230
35.0,560,10 × 20,F20,0.052,0.104,1230
35.0,560,12.5 × 15,G15,0.062,0.124,1210
35.0,680,10 × 25,F25,0.045,0.09,1450
35.0,820,12.5 × 20,G20,0.038,0.076,1700
35.0,1000,10 × 30,F30,0.035,0.07,1830
35.0,1000,12.5 × 20,G20,0.038,0.076,1700
35.0,1200,12.5 × 25,G25,0.03,0.06,1950
35.0,1200,18 × 16,K16,0.038,0.076,2010
35.0,1500,12.5 × 30,G30,0.025,0.05,2330
35.0,1500,16 × 20,J20,0.029,0.058,2230
35.0,1800,12.5 × 35,G35,0.022,0.044,2620
35.0,1800,16 × 20,J20,0.029,0.058,2230
35.0,2200,12.5 × 40,G40,0.017,0.034,3160
35.0,2200,16 × 25,J25,0.022,0.044,2650
35.0,2200,18 × 20,K20,0.028,0.056,2500
35.0,2700,16 × 31.5,J31,0.018,0.036,3210
35.0,2700,18 × 25,K25,0.02,0.04,3000
35.0,3300,18 × 25,K25,0.02,0.04,3000
35.0,3900,18 × 31.5,K31,0.016,0.032,3660
35.0,4700,18 × 35.5,K35,0.015,0.03,3960
35.0,5600,18 × 40,K40,0.014,0.028,4300
35.0,6800,18 × 40,K40,0.014,0.028,4300
35.0,8200,18 × 40,K40,0.014,0.028,4300
50.0,10,5 × 11.5,C11,0.9,1.8,173
50.0,22,5 × 11.5,C11,0.9,1.8,173
50.0,27,5 × 11.5,C11,0.9,1.8,173
50.0,33,6.3 × 11.5,D11,0.4,0.8,285
50.0,47,6.3 × 11.5,D11,0.4,0.8,285
50.0,56,6.3 × 11.5,D11,0.4,0.8,285
50.0,82,8 × 12,E12,0.19,0.38,508
50.0,100,8 × 15,E15,0.155,0.31,636
50.0,150,10 × 12.5,F12,0.17,0.34,628
50.0,180,10 × 12.5,F12,0.17,0.34,628
50.0,220,10 × 16,F16,0.119,0.238,850
50.0,270,10 × 20,F20,0.081,0.162,1120
50.0,330,10 × 20,F20,0.081,0.162,1120
50.0,330,12.5 × 15,G15,0.09,0.18,1170
50.0,470,12.5 × 20,G20,0.057,0.114,1540
50.0,560,12.5 × 25,G25,0.042,0.084,1910
50.0,680,18 × 20,K20,0.034,0.068,2420
50.0,820,12.5 × 30,G30,0.038,0.076,2290
50.0,820,18 × 20,K20,0.034,0.068,2420
50.0,1000,16 × 25,J25,0.031,0.062,2450
50.0,1000,18 × 20,K20,0.034,0.068,2420
50.0,1200,18 × 25,K25,0.029,0.058,2750
50.0,1500,16 × 31.5,J31,0.027,0.054,3100
50.0,1500,18 × 25,K25,0.029,0.058,2750
50.0,1800,16 × 35.5,J35,0.023,0.046,3530
50.0,1800,18 × 31.5,K31,0.025,0.05,3200
50.0,2200,16 × 40,J40,0.02,0.04,3830
50.0,2200,18 × 35.5,K35,0.022,0.044,3670
50.0,2700,18 × 40,K40,0.018,0.036,4160
63.0,10,5 × 11.5,C11,2.5,10.0,135
63.0,22,6.3 × 11.5,D11,1.2,4.8,225
63.0,27,6.3 × 11.5,D11,1.2,4.8,225
63.0,33,6.3 × 11.5,D11,1.2,4.8,225
63.0,47,8 × 12,E12,0.6,1.8,380
63.0,56,8 × 12,E12,0.6,1.8,380
63.0,82,8 × 20,E20,0.3,0.9,682
63.0,100,10 × 16,F16,0.32,0.64,620
63.0,150,10 × 20,F20,0.25,0.5,800
63.0,180,10 × 25,F25,0.18,0.36,960
63.0,220,12.5 × 20,G20,0.075,0.15,1340
63.0,330,12.5 × 25,G25,0.065,0.13,1730
63.0,470,12.5 × 30,G30,0.055,0.11,2110
63.0,470,16 × 25,J25,0.052,0.104,2180
63.0,470,18 × 20,K20,0.058,0.116,2290
63.0,560,16 × 25,J25,0.052,0.104,2180
63.0,560,18 × 20,K20,0.058,0.116,2290
63.0,680,16 × 31.5,J31,0.042,0.084,2710
63.0,680,18 × 25,K25,0.05,0.1,2610
63.0,820,16 × 31.5,J31,0.042,0.084,2710
63.0,820,18 × 25,K25,0.05,0.1,2610
63.0,1000,16 × 35.5,J35,0.036,0.072,2820
63.0,1000,18 × 31.5,K31,0.042,0.084,3080
63.0,1500,18 × 35.5,K35,0.035,0.07,3530
63.0,1800,18 × 40,K40,0.032,0.064,3880
80.0,10,5 × 11.5,C11,2.5,10.0,135
80.0,22,8 × 12,E12,0.6,1.8,380
80.0,33,8 × 12,E12,0.6,1.8,380
80.0,47,8 × 15,E15,0.45,1.4,470
80.0,56,10 × 12.5,F12,0.47,0.94,480
80.0,82,10 × 16,F16,0.32,0.64,620
80.0,100,10 × 20,F20,0.25,0.5,800
80.0,150,12.5 × 20,G20,0.075,0.15,1340
80.0,220,12.5 × 25,G25,0.065,0.13,1730
80.0,330,12.5 × 30,G30,0.055,0.11,2110
80.0,470,16 × 31.5,J31,0.042,0.084,2710
80.0,470,18 × 25,K25,0.05,0.1,2610
80.0,560,16 × 31.5,J31,0.042,0.084,2710
80.0,560,18 × 25,K25,0.05,0.1,2610
80.0,680,16 × 35.5,J35,0.036,0.072,2820
80.0,680,18 × 31.5,K31,0.042,0.084,3080
80.0,820,16 × 40,J40,0.032,0.064,3140
80.0,820,18 × 35.5,K35,0.035,0.07,3530
80.0,1000,18 × 40,K40,0.032,0.064,3880
100.0,10,6.3 × 11.5,D11,1.7,6.8,186
100.0,22,8 × 12,E12,0.7,2.1,315
100.0,33,8 × 15,E15,0.51,1.53,423
100.0,47,10 × 12.5,F12,0.54,1.08,392
100.0,56,10 × 16,F16,0.37,0.74,520
100.0,82,10 × 20,F20,0.29,0.58,640
100.0,100,10 × 25,F25,0.2,0.4,820
100.0,150,12.5 × 25,G25,0.11,0.22,1200
100.0,220,12.5 × 30,G30,0.09,0.18,1450
100.0,330,16 × 25,J25,0.079,0.16,1650
100.0,470,16 × 35.5,J35,0.052,0.104,2340
100.0,470,18 × 31.5,K31,0.054,0.108,2350
100.0,560,16 × 40,J40,0.045,0.09,2650
100.0,560,18 × 35.5,K35,0.044,0.088,2730
100.0,680,16 × 40,J40,0.045,0.09,2650
100.0,680,18 × 35.5,K35,0.044,0.088,2730
100.0,820,18 × 40,K40,0.039,0.078,3050
