Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current 120Hz,Rated Ripple Current 100kHz
200,180,16×25,0.85,1.19
200,220,12.5×45,1.09,1.52
200,220,16×30,1.01,1.41
200,220,18×25,1.0,1.4
200,270,12.5×50,1.26,1.76
200,270,16×30,1.18,1.65
200,270,18×30,1.16,1.62
200,330,12.5×60,1.36,1.9
200,330,16×40,1.31,1.83
200,330,18×30,1.3,1.82
200,390,16×45,1.43,2.0
200,390,18×35,1.43,2.0
200,470,16×50,1.58,2.21
200,470,18×40,1.58,2.21
200,560,18×45,1.77,2.47
220,100,10×40,0.66,0.924
220,120,10×45,0.75,1.05
220,120,12.5×30,0.74,1.03
220,150,12.5×35,0.86,1.2
220,150,16×25,0.8,1.12
220,180,12.5×40,0.99,1.38
220,180,16×30,0.94,1.31
220,220,12.5×50,1.08,1.51
220,220,16×30,1.01,1.41
220,220,18×25,0.94,1.31
220,270,16×35,1.19,1.66
220,270,18×30,1.13,1.58
220,330,18×35,1.3,1.82
220,390,18×40,1.49,2.08
220,470,18×45,1.69,2.36
250,27,8×25,0.3,0.42
250,39,8×30,0.37,0.518
250,47,8×35,0.45,0.63
250,47,10×25,0.37,0.518
250,56,8×40,0.51,0.714
250,56,10×30,0.42,0.588
250,68,8×50,0.59,0.826
250,68,10×35,0.49,0.686
250,82,10×40,0.61,0.854
250,82,12.5×25,0.54,0.756
250,100,10×45,0.68,0.952
250,100,12.5×30,0.69,0.966
250,120,10×55,0.73,1.02
250,120,12.5×35,0.79,1.1
250,120,16×25,0.74,1.03
250,150,12.5×40,0.92,1.28
250,150,16×30,0.89,1.24
250,180,12.5×50,0.97,1.35
250,180,16×30,0.95,1.33
250,180,18×25,0.88,1.23
250,220,12.5×55,1.13,1.58
250,220,16×35,1.11,1.55
250,220,18×30,1.1,1.54
250,270,16×40,1.27,1.77
250,270,18×35,1.23,1.72
250,330,16×50,1.48,2.07
250,330,18×40,1.42,1.98
250,390,18×45,1.59,2.22
250,470,18×50,1.83,2.56
350,22,8×30,0.25,0.375
350,27,8×35,0.29,0.435
350,33,8×40,0.33,0.495
350,33,10×25,0.31,0.465
350,39,8×45,0.37,0.555
350,39,10×30,0.36,0.54
350,47,8×60,0.43,0.645
350,47,10×35,0.41,0.615
350,56,10×40,0.47,0.705
350,68,10×55,0.55,0.825
400,12,8×25,0.17,0.255
400,15,8×30,0.2,0.3
400,18,8×35,0.23,0.345
400,22,8×40,0.26,0.39
400,22,10×25,0.24,0.36
400,27,8×45,0.3,0.45
400,27,10×30,0.29,0.435
400,33,8×55,0.35,0.525
400,33,10×35,0.33,0.495
400,39,10×40,0.4,0.6
400,39,12.5×25,0.36,0.54
400,47,10×45,0.45,0.675
400,47,12.5×30,0.44,0.66
400,56,10×50,0.52,0.78
400,56,12.5×35,0.5,0.75
400,68,12.5×40,0.58,0.87
400,68,16×25,0.51,0.765
400,82,12.5×45,0.65,0.975
400,82,16×30,0.61,0.915
400,82,18×25,0.61,0.915
400,100,12.5×60,0.75,1.12
400,100,16×35,0.74,1.11
400,100,18×30,0.74,1.11
400,120,16×40,0.8,1.2
400,120,18×35,0.79,1.18
400,150,16×50,0.95,1.42
400,150,18×40,0.91,1.36
400,180,18×45,1.04,1.56
