Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current 105C 100kHz,Impedance 20℃ 100kHz,Impedance -10℃ 100kHz
35,680,10×25,2900,0.024,0.072
35,820,12.5×20,2600,0.025,0.075
35,1000,12.5×20,2600,0.025,0.075
35,1200,12.5×25,3200,0.019,0.057
35,1500,12.5×30,3660,0.018,0.054
35,1500,16×20,3330,0.021,0.063
35,1800,12.5×35,4120,0.016,0.048
35,1800,16×25,3810,0.017,0.051
50,27,5×11,310,0.48,1.5
50,56,6.3×11,500,0.22,0.66
50,100,8×11.5,950,0.12,0.36
50,120,8×11.5,1300,0.11,0.33
50,120,8×16,1230,0.082,0.25
50,150,10×12.5,1280,0.073,0.22
50,180,8×16,1700,0.081,0.24
50,180,8×20,1580,0.058,0.18
50,220,10×12.5,1700,0.071,0.21
50,220,10×16,1650,0.053,0.16
50,270,8×20,2100,0.058,0.17
50,330,10×16,2100,0.052,0.16
50,330,10×20,2060,0.038,0.12
50,390,10×25,2420,0.032,0.1
50,470,10×20,2500,0.037,0.11
50,470,12.5×16,2200,0.04,0.12
50,470,12.5×20,2300,0.032,0.1
50,560,10×25,2900,0.031,0.093
50,680,12.5×20,2700,0.029,0.087
50,680,12.5×25,2800,0.025,0.08
50,820,12.5×30,3370,0.023,0.074
50,820,16×20,3070,0.026,0.084
50,1000,12.5×25,3000,0.022,0.066
50,1000,12.5×30,3500,0.02,0.06
50,1000,12.5×35,3810,0.021,0.067
50,1000,16×25,3510,0.022,0.07
50,1200,12.5×35,4000,0.017,0.051
50,1200,16×20,3100,0.023,0.069
50,1500,12.5×40,4500,0.019,0.057
50,1500,16×25,3600,0.018,0.054
50,1500,18×20,3200,0.029,0.087
50,2200,16×31.5,4100,0.018,0.054
50,2200,18×25,3700,0.022,0.066
50,2700,16×35.5,4400,0.016,0.048
50,2700,16×40,4800,0.014,0.042
50,2700,18×31.5,4200,0.019,0.057
50,3300,18×35.5,4600,0.016,0.048
50,3900,18×40,5000,0.014,0.042
63,18,5×11,240,0.71,3.2
63,47,6.3×11,420,0.28,1.3
63,82,8×11.5,720,0.18,0.79
63,100,8×11.5,1000,0.13,0.39
63,100,8×16,990,0.13,0.58
63,120,8×16,1300,0.095,0.29
63,120,10×12.5,990,0.11,0.44
63,150,8×20,1200,0.096,0.43
63,150,10×12.5,1300,0.08,0.24
63,180,8×20,1600,0.069,0.21
63,180,10×16,1200,0.076,0.31
63,220,10×16,1700,0.058,0.17
63,270,10×20,1570,0.056,0.23
63,270,12.5×16,1570,0.072,0.27
63,330,10×20,2000,0.042,0.13
63,330,10×25,1990,0.046,0.19
63,330,12.5×16,1900,0.045,0.14
63,390,10×25,2400,0.035,0.11
63,390,12.5×20,1990,0.041,0.13
63,470,12.5×20,2400,0.033,0.099
63,470,12.5×25,2460,0.031,0.093
63,560,12.5×30,2760,0.028,0.084
63,560,16×20,2380,0.032,0.096
63,680,12.5×25,2800,0.025,0.075
63,680,12.5×35,3040,0.024,0.072
63,820,12.5×30,3200,0.022,0.066
63,820,16×20,2900,0.025,0.075
63,820,16×25,2890,0.025,0.075
63,1000,12.5×35,3500,0.018,0.054
63,1000,16×25,3200,0.02,0.06
63,1200,12.5×40,3800,0.021,0.063
63,1200,18×20,3000,0.032,0.096
63,1500,16×31.5,3500,0.02,0.06
63,1500,18×25,3200,0.024,0.072
63,1800,16×35.5,3800,0.017,0.051
63,1800,18×31.5,3700,0.02,0.06
63,2200,16×40,4100,0.015,0.045
63,2200,18×35.5,3900,0.017,0.051
63,2700,18×40,4300,0.015,0.045
80,12,5×11,235,0.72,3.2
80,12,5×11,220,1.2,5.4
80,27,6.3×11,390,0.34,1.5
80,27,6.3×11,370,0.46,2.1
80,47,8×11.5,650,0.2,0.9
80,47,8×11.5,620,0.29,1.3
80,56,8×16,780,0.2,0.9
80,68,10×12.5,780,0.17,0.66
80,82,8×16,820,0.14,0.63
80,82,8×20,1040,0.16,0.66
80,100,10×12.5,860,0.14,0.56
80,100,10×16,1040,0.11,0.47
80,120,8×20,1090,0.12,0.54
80,150,10×16,1150,0.09,0.36
80,150,10×20,1430,0.084,0.34
80,150,12.5×16,1430,0.11,0.34
80,180,10×25,1620,0.069,0.28
80,220,10×20,1570,0.068,0.28
80,220,12.5×16,1430,0.09,0.27
80,220,12.5×20,1750,0.062,0.18
80,270,10×25,1780,0.055,0.22
80,270,12.5×25,2210,0.047,0.14
80,330,12.5×20,1800,0.048,0.15
80,330,12.5×30,2400,0.042,0.13
80,330,16×20,1950,0.048,0.15
80,390,12.5×25,2210,0.038,0.12
80,390,12.5×35,2600,0.036,0.11
80,470,12.5×30,2520,0.033,0.11
80,470,12.5×40,2860,0.032,0.095
80,470,16×20,2150,0.036,0.12
80,470,16×25,2430,0.038,0.12
80,470,18×20,2270,0.045,0.14
80,560,12.5×35,2860,0.026,0.078
80,560,16×31.5,2640,0.032,0.095
80,680,16×25,2620,0.028,0.084
80,680,18×20,2280,0.032,0.096
80,680,16×35.5,2860,0.029,0.086
80,680,18×25,2500,0.036,0.11
80,820,16×31.5,2900,0.022,0.066
80,820,16×40,3510,0.027,0.081
80,820,18×31.5,2860,0.03,0.09
80,1000,16×35.5,3150,0.02,0.06
80,1000,18×25,2750,0.027,0.081
80,1000,18×35.5,3510,0.027,0.081
80,1200,16×40,3710,0.018,0.054
80,1200,18×31.5,3150,0.02,0.06
80,1200,18×40,3860,0.026,0.076
80,1500,18×35.5,3710,0.018,0.054
80,1800,18×40,4060,0.017,0.051
120,33,8×16,585,0.25,1.0
120,47,8×20,735,0.19,0.76
120,56,10×16,780,0.17,0.72
120,82,10×20,1040,0.12,0.52
120,100,10×25,1250,0.1,0.43
120,120,10×28,1400,0.09,0.38
120,120,12.5×20,1430,0.085,0.31
120,150,12.5×25,1620,0.21,0.84
120,180,12.5×30,1880,0.18,0.72
120,180,16×20,1700,0.17,0.65
120,220,12.5×35,2140,0.15,0.6
120,270,12.5×40,2340,0.12,0.48
120,270,16×25,2100,0.13,0.49
120,270,18×20,1850,0.14,0.52
120,330,16×31.5,2400,0.1,0.38
120,390,16×35.5,2600,0.085,0.32
120,390,18×25,2270,0.1,0.37
120,470,16×40,2860,0.075,0.29
120,470,18×31.5,2470,0.08,0.3
120,560,18×35.5,2860,0.07,0.26
120,680,18×40,3510,0.06,0.22
