Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current 120Hz,Rated Ripple Current 100kHz
420,68,18×25,0.615,1.538
420,82,12.5×50,0.69,1.725
420,82,14.5×40,0.68,1.7
420,82,14.5×45,0.75,1.875
420,82,16×30,0.64,1.6
420,82,16×35,0.69,1.725
420,82,18×25,0.64,1.6
420,82,18×30,0.73,1.825
420,100,14.5×45,0.79,1.778
420,100,14.5×50,0.845,1.901
420,100,16×35,0.73,1.643
420,100,16×40,0.8,1.8
420,100,18×30,0.78,1.755
420,100,18×35,0.835,1.879
420,120,16×40,0.84,1.89
420,120,16×45,0.92,2.07
420,120,18×35,0.85,1.913
420,120,18×40,0.93,2.093
420,150,16×50,0.94,2.115
420,150,18×40,1.0,2.25
420,150,18×45,1.06,2.385
420,180,18×45,1.1,2.475
450,10,10×16,0.13,0.325
450,15,10×20,0.19,0.475
450,15,16×16,0.21,0.525
450,18,10×25,0.23,0.575
450,22,10×30,0.27,0.675
450,22,12.5×20,0.28,0.7
450,22,18×16,0.34,0.85
450,27,10×35,0.32,0.8
450,27,12.5×25,0.34,0.85
450,27,14.5×20,0.335,0.838
450,33,10×40,0.36,0.9
450,33,12.5×25,0.36,0.9
450,33,12.5×30,0.4,1.0
450,33,14.5×25,0.4,1.0
450,39,10×45,0.41,1.025
450,39,12.5×30,0.43,1.075
450,39,12.5×35,0.46,1.15
450,39,14.5×25,0.43,1.075
450,39,16×20,0.4,1.0
450,47,12.5×35,0.48,1.2
450,47,12.5×40,0.525,1.313
450,47,14.5×30,0.515,1.288
450,47,16×25,0.5,1.25
450,47,18×20,0.46,1.15
450,56,12.5×40,0.54,1.35
450,56,12.5×45,0.59,1.475
450,56,14.5×30,0.54,1.35
450,56,14.5×35,0.58,1.45
450,56,16×25,0.53,1.325
450,56,16×30,0.585,1.463
450,56,18×25,0.56,1.4
450,68,12.5×45,0.61,1.525
450,68,12.5×50,0.67,1.675
450,68,14.5×35,0.62,1.55
450,68,14.5×40,0.66,1.65
450,68,16×30,0.61,1.525
450,68,16×35,0.66,1.65
450,68,18×25,0.61,1.525
450,82,14.5×40,0.67,1.675
450,82,14.5×45,0.74,1.85
450,82,16×35,0.69,1.725
450,82,16×40,0.75,1.875
450,82,18×30,0.73,1.825
450,100,14.5×50,0.81,1.823
450,100,16×40,0.77,1.733
450,100,16×45,0.84,1.89
450,100,18×30,0.75,1.688
450,100,18×35,0.835,1.879
450,120,16×45,0.88,1.98
450,120,18×35,0.86,1.935
450,120,18×40,0.93,2.093
450,150,18×45,1.0,2.25
450,150,18×50,1.06,2.385
450,180,18×50,1.1,2.475
