Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UVZ1V471MPD,MP,35.0,470.00,10.0,16.0,-55,105,2000,1.77,0.14,494,460,,,,,,,,1800,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V102MHD,MP,35.0,1000.00,12.5,20.0,-55,105,2000,3.43,0.14,1050,810,,,,,,,,1000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V222MHD,MP,35.0,2200.00,16.0,25.0,-55,105,2000,8.20,0.16,2310,1260,,,,,,,,400,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V332MHD,MP,35.0,3300.00,16.0,35.5,-55,105,2000,11.80,0.18,3465,1610,,,,,,,,300,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V472MHD,MP,35.0,4700.00,18.0,35.5,-55,105,2000,14.20,0.20,4935,1910,,,,,,,,250,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V682MRD,EOL,35.0,6800.00,20.0,40.0,-55,105,2000,19.60,0.24,7140,2150,,,,,,,,150,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V103MRD,EOL,35.0,10000.00,22.0,50.0,-55,105,2000,27.40,0.32,10500,2650,,,,,,,,250,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V153MRD,EOL,35.0,15000.00,25.0,50.0,-55,105,2000,38.80,0.42,15750,3100,,,,,,,,140,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1H2R2MDD,EOL,50.0,2.20,5.0,11.0,-55,105,1000,0.44,0.12,4,20,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1H3R3MDD,EOL,50.0,3.30,5.0,11.0,-55,105,1000,0.44,0.12,5,25,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
