Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
URZ1E222MHD,MP,25.0,2200.00,18.0,15.0,-55,105,1000,6.31,0.18,1650,970,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1E332MHD,MP,25.0,3300.00,18.0,20.0,-55,105,1000,9.00,0.20,2475,1220,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1E472MHD,MP,25.0,4700.00,18.0,25.0,-55,105,1000,10.60,0.22,3525,1470,,,,,,,,300,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1V331MPD,MP,35.0,330.00,10.0,12.5,-55,105,1000,1.49,0.14,347,340,,,,,,,,2000,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1V471MHD,MP,35.0,470.00,12.5,12.5,-55,105,1000,2.80,0.14,494,420,,,,,,,,1500,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1V102MHD,MP,35.0,1000.00,16.0,15.0,-55,105,1000,4.74,0.14,1050,720,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1V222MHD,MP,35.0,2200.00,18.0,20.0,-55,105,1000,9.00,0.16,2310,1110,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1V332MRD,EOL,35.0,3300.00,20.0,25.0,-55,105,1000,11.50,0.18,3465,1430,,,,,,,,250,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1H221MPD,MP,50.0,220.00,10.0,12.5,-55,105,1000,1.49,0.12,330,290,,,,,,,,2000,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1H331MHD,MP,50.0,330.00,12.5,12.5,-55,105,1000,2.80,0.12,495,370,,,,,,,,1500,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1H471MHD,MP,50.0,470.00,16.0,15.0,-55,105,1000,4.74,0.12,705,540,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1H102MHD,MP,50.0,1000.00,18.0,20.0,-55,105,1000,9.00,0.12,1500,830,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1H222MRD,EOL,50.0,2200.00,20.0,25.0,-55,105,1000,11.50,0.14,3300,1250,,,,,,,,250,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1J221MHD,MP,63.0,220.00,12.5,12.5,-55,105,1000,2.80,0.10,416,335,,,,,,,,1500,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1J331MHD,MP,63.0,330.00,12.5,15.0,-55,105,1000,2.96,0.10,624,510,,,,,,,,1200,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1J471MHD,MP,63.0,470.00,16.0,15.0,-55,105,1000,4.74,0.10,888,640,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2A470MPD,MP,100.0,47.00,10.0,12.5,-55,105,1000,1.49,0.08,141,165,,,,,,,,2000,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2A101MHD,MP,100.0,100.00,12.5,15.0,-55,105,1000,2.96,0.08,300,265,,,,,,,,1200,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2A221MHD,MP,100.0,220.00,16.0,15.0,-55,105,1000,4.74,0.08,660,440,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2A331MHD,MP,100.0,330.00,18.0,15.0,-55,105,1000,6.31,0.08,990,540,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2C470MHD,LTB,160.0,47.00,16.0,15.0,-40,105,1000,4.74,0.20,401,300,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2C680MHD6,LTB,160.0,68.00,16.0,20.0,-40,105,1000,6.60,0.20,535,350,,,,,,,,600,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2C680MHD,LTB,160.0,68.00,18.0,15.0,-40,105,1000,6.31,0.20,535,350,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2C101MHD,LTB,160.0,100.00,18.0,20.0,-40,105,1000,9.00,0.20,740,420,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2C101MRD6,EOL,160.0,100.00,20.0,15.0,-40,105,1000,7.32,0.20,740,420,,,,,,,,300,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2C151MHD,LTB,160.0,150.00,18.0,25.0,-40,105,1000,10.60,0.20,1060,510,,,,,,,,300,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2C151MRD6,EOL,160.0,150.00,20.0,20.0,-40,105,1000,9.81,0.20,1060,510,,,,,,,,250,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2C221MRD,EOL,160.0,220.00,20.0,25.0,-40,105,1000,11.50,0.20,1508,550,,,,,,,,250,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2D330MHD,LTB,200.0,33.00,16.0,15.0,-40,105,1000,4.74,0.20,364,250,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2D470MHD6,LTB,200.0,47.00,16.0,20.0,-40,105,1000,6.60,0.20,476,300,,,,,,,,600,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2D470MHD,LTB,200.0,47.00,18.0,15.0,-40,105,1000,6.31,0.20,476,300,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2D680MHD,LTB,200.0,68.00,18.0,20.0,-40,105,1000,9.00,0.20,644,350,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2D680MRD6,EOL,200.0,68.00,20.0,15.0,-40,105,1000,7.32,0.20,644,350,,,,,,,,300,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2D101MHD,LTB,200.0,100.00,18.0,25.0,-40,105,1000,10.60,0.20,900,420,,,,,,,,300,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2D101MRD6,EOL,200.0,100.00,20.0,20.0,-40,105,1000,9.81,0.20,900,420,,,,,,,,250,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2D151MHD,LTB,200.0,150.00,18.0,25.0,-40,105,1000,10.60,0.20,1300,510,,,,,,,,300,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2E220MHD,LTB,250.0,22.00,16.0,15.0,-40,105,1000,4.74,0.20,320,200,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2E330MHD6,LTB,250.0,33.00,16.0,20.0,-40,105,1000,6.60,0.20,430,250,,,,,,,,600,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2E330MHD,LTB,250.0,33.00,18.0,15.0,-40,105,1000,6.31,0.20,430,250,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2E470MHD,LTB,250.0,47.00,18.0,20.0,-40,105,1000,9.00,0.20,570,300,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2E470MRD6,EOL,250.0,47.00,20.0,15.0,-40,105,1000,7.32,0.20,570,300,,,,,,,,300,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2E680MHD,LTB,250.0,68.00,18.0,20.0,-40,105,1000,9.00,0.20,780,350,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2E101MHD,LTB,250.0,100.00,18.0,25.0,-40,105,1000,10.60,0.20,1100,420,,,,,,,,300,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2G100MHD,LTB,400.0,10.00,16.0,15.0,-40,105,1000,4.74,0.25,260,100,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2G220MHD6,LTB,400.0,22.00,16.0,20.0,-40,105,1000,6.60,0.25,452,200,,,,,,,,600,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2G220MHD,LTB,400.0,22.00,18.0,15.0,-40,105,1000,6.31,0.25,452,200,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2G330MHD,LTB,400.0,33.00,18.0,20.0,-40,105,1000,9.00,0.25,628,250,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2G470MHD,LTB,400.0,47.00,18.0,25.0,-40,105,1000,10.60,0.25,852,300,,,,,,,,300,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2G470MRD6,EOL,400.0,47.00,20.0,20.0,-40,105,1000,9.81,0.25,852,300,,,,,,,,250,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ2G680MRD,EOL,400.0,68.00,20.0,25.0,-40,105,1000,11.50,0.25,1188,350,,,,,,,,250,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
