Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHD1H121MPD,MP,50.0,120.00,8.0,15.0,-40,105,3000,1.36,0.10,60,950,,,,,,0.18,0.061,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H151MPD,MP,50.0,150.00,10.0,12.5,-40,105,4000,1.49,0.10,75,979,,,,,,0.18,0.061,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H181MPD,MP,50.0,180.00,8.0,20.0,-40,105,3000,1.66,0.10,90,1190,,,,,,0.14,0.046,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H221MPD,MP,50.0,220.00,10.0,16.0,-40,105,4000,1.77,0.10,110,1370,,,,,,0.12,0.042,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H271MPD,MP,50.0,270.00,10.0,20.0,-40,105,4000,2.34,0.10,135,1580,,,,,,0.09,0.03,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H331MPD,MP,50.0,330.00,10.0,25.0,-40,105,4000,3.07,0.10,165,1870,,,,,,0.085,0.028,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H471MHD,MP,50.0,470.00,12.5,20.0,-40,105,5000,3.43,0.10,235,2050,,,,,,0.068,0.027,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H561MHD,MP,50.0,560.00,12.5,25.0,-40,105,5000,4.56,0.10,280,2410,,,,,,0.059,0.023,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H681MHD,MP,50.0,680.00,12.5,30.5,-40,105,5000,6.01,0.10,340,2860,,,,,,0.052,0.021,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H821MHD,MP,50.0,820.00,12.5,35.5,-40,105,5000,7.06,0.10,410,2960,,,,,,0.051,0.019,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H821MHD6,MP,50.0,820.00,16.0,20.0,-40,105,5000,6.60,0.10,410,2730,,,,,,0.059,0.023,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H102MHD,MP,50.0,1000.00,16.0,25.0,-40,105,5000,8.20,0.10,500,3010,,,,,,0.056,0.021,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
