Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHV1C332MHD6,MP,16.0,3300.00,16.0,20.0,-40,105,6000,6.60,0.19,528,3575,,,,,,0.036,0.014,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C392MHD,MP,16.0,3900.00,12.5,35.5,-40,105,6000,7.06,0.19,624,3925,,,,,,0.029,0.011,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C472MHD,MP,16.0,4700.00,16.0,25.0,-40,105,6000,8.20,0.21,752,3990,,,,,,0.033,0.012,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E680MDD,EOL,25.0,68.00,5.0,11.0,-40,105,5000,0.44,0.13,17,360,,,,,,0.76,0.23,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E101MED,EOL,25.0,100.00,6.3,11.0,-40,105,5000,0.59,0.13,25,450,,,,,,0.33,0.1,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E151MED,EOL,25.0,150.00,6.3,11.0,-40,105,5000,0.59,0.13,38,550,,,,,,0.33,0.1,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E221MPD,MP,25.0,220.00,8.0,11.5,-40,105,6000,1.19,0.13,55,810,,,,,,0.181,0.059,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E271MPD,MP,25.0,270.00,8.0,11.5,-40,105,6000,1.19,0.13,68,900,,,,,,0.181,0.059,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E331MPD,MP,25.0,330.00,8.0,11.5,-40,105,6000,1.19,0.13,83,990,,,,,,0.181,0.059,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E391MPD,MP,25.0,390.00,8.0,15.0,-40,105,6000,1.36,0.13,98,1330,,,,,,0.143,0.046,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E471MPD,MP,25.0,470.00,10.0,12.5,-40,105,6000,1.49,0.13,118,1360,,,,,,0.133,0.043,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E561MPD,MP,25.0,560.00,8.0,20.0,-40,105,6000,1.66,0.13,140,1550,,,,,,0.105,0.031,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E681MPD,MP,25.0,680.00,10.0,16.0,-40,105,6000,1.77,0.13,170,1815,,,,,,0.095,0.03,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E821MPD,MP,25.0,820.00,10.0,20.0,-40,105,6000,2.34,0.13,205,2160,,,,,,0.057,0.019,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
