Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UVY1E153MRD,EOL,25.0,15000.00,22.0,50.0,-55,105,2000,27.40,0.44,11250,2750,,,,,,,,250,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1E223MRD,EOL,25.0,22000.00,25.0,50.0,-55,105,2000,38.80,0.58,16500,3250,,,,,,,,140,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V470MDD,EOL,35.0,47.00,5.0,11.0,-55,105,1000,0.44,0.14,49,93,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V680MED,EOL,35.0,68.00,6.3,11.0,-55,105,1000,0.59,0.14,71,110,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V101MED,EOL,35.0,100.00,6.3,11.0,-55,105,1000,0.59,0.14,105,150,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V221MPD,MP,35.0,220.00,8.0,11.5,-55,105,1000,1.19,0.14,231,250,,,,,,,,3000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V331MPD,MP,35.0,330.00,10.0,12.5,-55,105,2000,1.49,0.14,347,350,,,,,,,,2000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V471MPD,MP,35.0,470.00,10.0,16.0,-55,105,2000,1.77,0.14,494,460,,,,,,,,1800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V102MHD,MP,35.0,1000.00,12.5,20.0,-55,105,2000,3.43,0.14,1050,810,,,,,,,,1000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V222MHD,MP,35.0,2200.00,16.0,25.0,-55,105,2000,8.20,0.16,2310,1260,,,,,,,,400,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V332MHD,MP,35.0,3300.00,16.0,30.5,-55,105,2000,9.60,0.18,3465,1500,,,,,,,,300,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V472MHD,MP,35.0,4700.00,16.0,35.5,-55,105,2000,11.80,0.20,4935,1780,,,,,,,,300,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V682MHD,MP,35.0,6800.00,18.0,40.0,-55,105,2000,17.70,0.24,7140,2000,,,,,,,,200,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V103MRD,EOL,35.0,10000.00,22.0,50.0,-55,105,2000,27.40,0.32,10500,2650,,,,,,,,250,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1V153MRD,EOL,35.0,15000.00,25.0,50.0,-55,105,2000,38.80,0.42,15750,3100,,,,,,,,140,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H2R2MDD,EOL,50.0,2.20,5.0,11.0,-55,105,1000,0.44,0.12,4,20,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H3R3MDD,EOL,50.0,3.30,5.0,11.0,-55,105,1000,0.44,0.12,5,25,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H4R7MDD,EOL,50.0,4.70,5.0,11.0,-55,105,1000,0.44,0.12,7,30,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H100MDD,EOL,50.0,10.00,5.0,11.0,-55,105,1000,0.44,0.12,15,46,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H220MDD,EOL,50.0,22.00,5.0,11.0,-55,105,1000,0.44,0.12,33,68,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H330MDD,EOL,50.0,33.00,5.0,11.0,-55,105,1000,0.44,0.12,50,90,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H470MED,EOL,50.0,47.00,6.3,11.0,-55,105,1000,0.59,0.12,71,115,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H680MED,EOL,50.0,68.00,6.3,11.0,-55,105,1000,0.59,0.12,102,150,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H101MPD,MP,50.0,100.00,8.0,11.5,-55,105,1000,1.19,0.12,150,190,,,,,,,,3000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H221MPD,MP,50.0,220.00,10.0,12.5,-55,105,2000,1.49,0.12,330,300,,,,,,,,2000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H331MPD,MP,50.0,330.00,10.0,16.0,-55,105,2000,1.77,0.12,495,410,,,,,,,,1800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
