Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
PLF1D680MCL2,NRND,20.0,68.00,10.0,8.0,-55,105,2000,0.90,0.12,272,2600,,0.04,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
PLF1D820MCL2,NRND,20.0,82.00,10.0,8.0,-55,105,2000,0.90,0.12,328,2600,,0.04,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
PLF1D101MDO2,NRND,20.0,100.00,8.0,12.0,-55,105,2000,0.95,0.12,400,3320,,0.022,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
PLF1D121MCL2,NRND,20.0,120.00,10.0,10.0,-55,105,2000,1.00,0.12,480,2800,,0.035,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
PLF1D151MDO2,NRND,20.0,150.00,10.0,13.0,-55,105,2000,1.50,0.12,600,4320,,0.02,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
PLF1E6R8MCL2,NRND,25.0,6.80,6.3,6.0,-55,105,2000,0.30,0.12,85,1200,,0.08,,,,,,4000,Radial Lead,Standard,Uni-Polar,Normal
PLF1E100MCL7,NRND,25.0,10.00,6.3,6.0,-55,105,2000,0.30,0.12,125,1500,,0.065,,,,,,4000,Radial Lead,Standard,Uni-Polar,Normal
PLF1E100MCL2,NRND,25.0,10.00,8.0,7.0,-55,105,2000,0.55,0.12,125,1500,,0.06,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
PLF1E220MCL7,NRND,25.0,22.00,8.0,7.0,-55,105,2000,0.55,0.12,275,1800,,0.05,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
PLF1E470MDO2,NRND,25.0,47.00,10.0,13.0,-55,105,2000,1.50,0.12,588,3000,,0.03,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
PLF1E560MDO2,NRND,25.0,56.00,10.0,13.0,-55,105,2000,1.50,0.12,700,3800,,0.028,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
