Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHE1A682MHD6,MP,10.0,6800.00,18.0,25.0,-40,105,8000,10.60,0.29,680,3140,,,,,,49,19,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A822MHD,MP,10.0,8200.00,16.0,35.5,-40,105,8000,11.80,0.33,820,3610,,,,,,44,15,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A822MHD6,MP,10.0,8200.00,18.0,30.5,-40,105,8000,13.10,0.33,820,4170,,,,,,40,15,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A103MHD,MP,10.0,10000.00,16.0,40.0,-40,105,8000,14.10,0.37,1000,4080,,,,,,38,13,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A103MHD6,MP,10.0,10000.00,18.0,35.5,-40,105,8000,14.20,0.37,1000,4220,,,,,,38,14,250,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1A123MHD,MP,10.0,12000.00,18.0,40.0,-40,105,8000,17.70,0.41,1200,4280,,,,,,32,12,200,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C560MDD,EOL,16.0,56.00,5.0,11.0,-40,105,5000,0.44,0.16,9,210,,,,,,2300,580,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C121MED,EOL,16.0,120.00,6.3,11.0,-40,105,5000,0.59,0.16,19,340,,,,,,870,220,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C331MPD,MP,16.0,330.00,8.0,11.5,-40,105,7000,1.19,0.16,53,640,,,,,,520,130,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C471MPD,MP,16.0,470.00,8.0,15.0,-40,105,7000,1.36,0.16,75,840,,,,,,350,87,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C471MPD6,MP,16.0,470.00,10.0,12.5,-40,105,7000,1.49,0.16,75,865,,,,,,320,80,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C681MPD,MP,16.0,680.00,8.0,20.0,-40,105,7000,1.66,0.16,109,1050,,,,,,270,69,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C681MPD6,MP,16.0,680.00,10.0,16.0,-40,105,7000,1.77,0.16,109,1210,,,,,,240,60,1800,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C102MPD,MP,16.0,1000.00,10.0,20.0,-40,105,7000,2.34,0.16,160,1400,,,,,,180,46,1400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C102MHD6,MP,16.0,1000.00,12.5,15.0,-40,105,10000,2.96,0.16,160,1450,,,,,,160,49,1200,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C122MPD,MP,16.0,1200.00,10.0,25.0,-40,105,7000,3.07,0.16,192,1650,,,,,,170,42,1200,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C152MPD,MP,16.0,1500.00,10.0,30.5,-40,105,7000,3.21,0.16,240,1910,,,,,,120,31,1000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C152MHD6,MP,16.0,1500.00,12.5,20.0,-40,105,10000,3.43,0.16,240,1900,,,,,,120,35,1000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C152MHD3,MP,16.0,1500.00,16.0,15.0,-40,105,10000,4.74,0.16,240,1940,,,,,,120,42,700,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C222MHD,MP,16.0,2200.00,12.5,25.0,-40,105,10000,4.56,0.18,352,2230,,,,,,89,27,800,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
