Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Ripple Rating (105℃/120Hz),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPJ0J153MHD,MP,6.3,15000.00,18.0,40.0,-55,105,5000,17.70,0.50,2835,2960,2660.0,,,,,0.055,0.022,200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A680MDD,EOL,10.0,68.00,5.0,11.0,-55,105,2000,0.44,0.19,20,155,97.0,,,,,3.3,1.3,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A820MDD,EOL,10.0,82.00,5.0,11.0,-55,105,2000,0.44,0.19,25,175,110.0,,,,,2.8,1.1,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A101MED,EOL,10.0,100.00,6.3,11.0,-55,105,2000,0.59,0.19,30,210,135.0,,,,,2.1,0.84,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A121MED,EOL,10.0,120.00,6.3,11.0,-55,105,2000,0.59,0.19,36,235,160.0,,,,,1.8,0.72,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A151MED,EOL,10.0,150.00,6.3,11.0,-55,105,2000,0.59,0.19,45,265,185.0,,,,,1.4,0.55,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A181MED,EOL,10.0,180.00,6.3,11.0,-55,105,2000,0.59,0.19,54,290,205.0,,,,,1.2,0.46,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A221MED,EOL,10.0,220.00,6.3,15.0,-55,105,2000,0.72,0.19,66,370,270.0,,,,,0.95,0.38,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A271MED,EOL,10.0,270.00,6.3,15.0,-55,105,2000,0.72,0.19,81,405,300.0,,,,,0.78,0.31,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A331MPD,MP,10.0,330.00,8.0,11.5,-55,105,3000,1.19,0.19,99,460,350.0,,,,,0.65,0.26,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A391MPD,MP,10.0,390.00,8.0,15.0,-55,105,3000,1.36,0.19,117,550,430.0,,,,,0.55,0.22,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A391MPD6,MP,10.0,390.00,10.0,12.5,-55,105,5000,1.49,0.19,117,555,430.0,,,,,0.6,0.24,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A471MPD,MP,10.0,470.00,8.0,15.0,-55,105,3000,1.36,0.19,141,595,475.0,,,,,0.48,0.19,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A471MPD6,MP,10.0,470.00,10.0,12.5,-55,105,5000,1.49,0.19,141,600,475.0,,,,,0.53,0.21,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A561MPD,MP,10.0,560.00,8.0,20.0,-55,105,3000,1.66,0.19,168,730,590.0,,,,,0.4,0.16,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A561MPD6,MP,10.0,560.00,10.0,16.0,-55,105,5000,1.77,0.19,168,700,565.0,,,,,0.45,0.18,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A681MPD,MP,10.0,680.00,8.0,20.0,-55,105,3000,1.66,0.19,204,795,660.0,,,,,0.33,0.13,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A681MPD6,MP,10.0,680.00,10.0,16.0,-55,105,5000,1.77,0.19,204,770,635.0,,,,,0.35,0.14,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A821MPD,MP,10.0,820.00,10.0,20.0,-55,105,5000,2.34,0.19,246,985,835.0,,,,,0.28,0.11,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A821MHD6,MP,10.0,820.00,12.5,15.0,-55,105,5000,2.96,0.19,246,920,780.0,,,,,0.33,0.13,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A102MPD,MP,10.0,1000.00,10.0,20.0,-55,105,5000,2.34,0.19,300,1060,915.0,,,,,0.24,0.096,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A102MHD6,MP,10.0,1000.00,12.5,15.0,-55,105,5000,2.96,0.19,300,1040,895.0,,,,,0.25,0.1,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A122MPD,MP,10.0,1200.00,10.0,25.0,-55,105,5000,3.07,0.19,360,1280,1120.0,,,,,0.2,0.078,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A122MHD6,MP,10.0,1200.00,12.5,15.0,-55,105,5000,2.96,0.19,360,1060,930.0,,,,,0.24,0.096,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A152MPD,MP,10.0,1500.00,10.0,30.5,-55,105,5000,3.21,0.19,450,1440,1290.0,,,,,0.18,0.072,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A152MHD6,MP,10.0,1500.00,16.0,15.0,-55,105,5000,4.74,0.19,450,1330,1190.0,,,,,0.2,0.078,700,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A182MHD,MP,10.0,1800.00,12.5,20.0,-55,105,5000,3.43,0.19,540,1470,1320.0,,,,,0.14,0.057,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A182MHD6,MP,10.0,1800.00,16.0,15.0,-55,105,5000,4.74,0.19,540,1420,1270.0,,,,,0.18,0.072,700,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A222MHD,MP,10.0,2200.00,12.5,25.0,-55,105,5000,4.56,0.21,660,1710,1530.0,,,,,0.11,0.045,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A222MHD6,MP,10.0,2200.00,18.0,15.0,-55,105,5000,6.31,0.21,660,1600,1440.0,,,,,0.15,0.06,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
